,station_code,Date,Avg_pm_25_value
604,site_1562,04-09-2020,0
605,site_1562,05-09-2020,0
606,site_1562,06-09-2020,0
607,site_1562,07-09-2020,0
608,site_1562,08-09-2020,0
609,site_1562,09-09-2020,0
610,site_1562,10-09-2020,0
611,site_1562,11-09-2020,0
612,site_1435,25-08-2020,0
613,site_1435,26-08-2020,0
614,site_1435,27-08-2020,0
615,site_1435,28-08-2020,0
616,site_1435,29-08-2020,0
617,site_1435,30-08-2020,0
618,site_1435,31-08-2020,0
619,site_1435,01-09-2020,0
620,site_1435,02-09-2020,0
621,site_1435,03-09-2020,0
622,site_1435,04-09-2020,0
623,site_1435,05-09-2020,0
624,site_1435,06-09-2020,0
625,site_1435,07-09-2020,0
626,site_1435,08-09-2020,0
627,site_1435,09-09-2020,0
628,site_1435,10-09-2020,0
629,site_1435,11-09-2020,0
630,site_1434,25-08-2020,0
631,site_1434,26-08-2020,0
632,site_1434,27-08-2020,0
633,site_1434,28-08-2020,0
634,site_1434,29-08-2020,0
635,site_1434,30-08-2020,0
636,site_1434,31-08-2020,0
637,site_1434,01-09-2020,0
638,site_1434,02-09-2020,0
639,site_1434,03-09-2020,0
640,site_1434,04-09-2020,0
641,site_1434,05-09-2020,0
642,site_1434,06-09-2020,0
643,site_1434,07-09-2020,0
644,site_1434,08-09-2020,0
645,site_1434,09-09-2020,0
646,site_1434,10-09-2020,0
647,site_1434,11-09-2020,0
648,site_5024,01-09-2020,0
649,site_5024,02-09-2020,0
650,site_5024,03-09-2020,0
651,site_5024,04-09-2020,0
652,site_5024,05-09-2020,0
653,site_5024,06-09-2020,0
654,site_5024,07-09-2020,0
655,site_5024,08-09-2020,0
656,site_5024,09-09-2020,0
657,site_5024,10-09-2020,0
658,site_5024,11-09-2020,0
659,site_301,01-09-2020,0
660,site_301,02-09-2020,0
661,site_301,03-09-2020,0
662,site_301,04-09-2020,0
663,site_301,05-09-2020,0
664,site_301,06-09-2020,0
665,site_301,07-09-2020,0
666,site_301,08-09-2020,0
667,site_301,09-09-2020,0
668,site_301,10-09-2020,0
669,site_301,11-09-2020,0
670,site_1420,01-09-2020,0
671,site_1420,02-09-2020,0
672,site_1420,03-09-2020,0
673,site_1420,04-09-2020,0
674,site_1420,05-09-2020,0
675,site_1420,06-09-2020,0
676,site_1420,07-09-2020,0
677,site_1420,08-09-2020,0
678,site_1420,09-09-2020,0
679,site_1420,10-09-2020,0
680,site_1420,11-09-2020,0
681,site_108,01-09-2020,0
682,site_108,02-09-2020,0
683,site_108,03-09-2020,0
684,site_108,04-09-2020,0
685,site_108,05-09-2020,0
686,site_108,06-09-2020,0
687,site_108,07-09-2020,0
688,site_108,08-09-2020,0
689,site_108,09-09-2020,0
690,site_108,10-09-2020,0
691,site_108,11-09-2020,0
692,site_1560,01-09-2020,0
693,site_1560,02-09-2020,0
694,site_1560,03-09-2020,0
695,site_1560,04-09-2020,0
696,site_1560,05-09-2020,0
697,site_1560,06-09-2020,0
