,States,City,st_Code,st_Name,Board,Latitude,Longitude
216,West Bengal,Howrah,site_274,"Ghusuri, Howrah",WBPCB,22.611968,88.347422
217,West Bengal,Howrah,site_1416,"Padmapukur, Howrah",WBPCB,22.568732,88.279728
218,West Bengal,Kolkata,site_5238,"Ballygunge, Kolkata",WBPCB,22.536751,88.363802
219,West Bengal,Kolkata,site_5129,"Bidhannagar, Kolkata",WBPCB,22.58157,88.410025
220,West Bengal,Kolkata,site_5110,"Fort William, Kolkata",WBPCB,22.55664,88.342674
221,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata",WBPCB,22.49929,88.36917
222,West Bengal,Kolkata,site_296,"Rabindra Bharati University, Kolkata",WBPCB,22.627847,88.380669
223,West Bengal,Kolkata,site_5126,"Rabindra Sarobar, Kolkata",WBPCB,22.51106,88.35142
224,West Bengal,Kolkata,site_309,"Victoria, Kolkata",WBPCB,22.544808,88.340369
225,West Bengal,Siliguri,site_1419,"Ward-32 Bapupara, Siliguri",WBPCB,,
